# {"t_start": 1601484477.3897421, "env_id": "Reacher-v2"} 
r,l,t
-65.046533,50,7.679567
-63.736999,50,7.725679
-51.021308,50,7.775388
-56.906211,50,7.825792
-60.562433,50,7.873289
-65.818587,50,7.919904
-58.813488,50,7.966512
-60.259982,50,8.013509
-70.534556,50,8.061264
-56.038129,50,8.10869
-59.437473,50,8.155591
-62.115741,50,8.202716
-66.494664,50,8.255743
-64.152265,50,8.304664
-64.773851,50,8.353415
-61.72482,50,8.400569
-60.32379,50,8.447079
-63.558033,50,8.4953
-62.345824,50,8.54188
-58.139995,50,8.588279
-65.09483,50,8.635376
-49.376617,50,8.68203
-64.448777,50,8.728763
-59.88189,50,8.777087
-63.88194,50,8.8242
-55.858612,50,8.875425
-63.548609,50,8.921834
-65.155,50,8.968474
-57.617446,50,9.015149
-69.273446,50,9.061624
-63.62982,50,9.108532
-60.434176,50,9.155056
-63.477702,50,9.20142
-64.254653,50,9.249955
-51.412397,50,9.297189
-57.933527,50,9.343736
-53.542443,50,9.393586
-66.469838,50,9.440412
-64.802283,50,9.487241
-63.470543,50,9.533465
-57.818983,50,10.086085
-62.600156,50,10.141056
-57.291388,50,10.186735
-49.642335,50,10.232283
-63.635473,50,10.279639
-63.201279,50,10.325964
-59.591619,50,10.372497
-58.651306,50,10.420984
-59.846327,50,10.468937
-56.654756,50,10.515673
-60.668532,50,10.562658
-60.816587,50,10.611483
-62.440751,50,10.658371
-60.057877,50,10.705191
-60.774625,50,10.753294
-60.351338,50,10.800708
-63.962474,50,10.847257
-58.215283,50,10.895857
-68.085182,50,10.942355
-70.556768,50,10.992294
-66.996561,50,11.038809
-56.892048,50,11.085265
-63.066891,50,11.132026
-57.354555,50,11.178872
-58.99945,50,11.225349
-60.314511,50,11.273668
-65.782721,50,11.320516
-60.089306,50,11.367135
-58.709812,50,11.413855
-54.875167,50,11.460512
-60.741222,50,11.511111
-67.243471,50,11.558006
-70.750437,50,11.604816
-62.878116,50,11.651143
-65.82463,50,11.697875
-66.493664,50,11.744693
-59.841345,50,11.793088
-54.26864,50,11.839403
-57.7675,50,11.886273
-68.53942,50,11.932793
-58.064653,50,11.98779
-64.781796,50,12.277751
-53.821906,50,12.331245
-60.717382,50,12.3778
-61.318066,50,12.424281
-64.886998,50,12.46996
-58.184423,50,12.516096
-69.507426,50,12.567838
-54.591178,50,12.614719
-59.089836,50,12.661047
-60.806849,50,12.708306
-59.317858,50,12.755899
-62.239319,50,12.804684
-58.805007,50,12.851281
-60.50051,50,12.898041
-60.13107,50,12.944521
-58.230245,50,12.991726
-55.960389,50,13.038193
-59.47905,50,13.087175
-61.082912,50,13.134376
-60.645971,50,13.180973
-62.341452,50,13.227729
-62.498995,50,13.275704
-55.970797,50,13.323011
-62.389305,50,13.369791
-58.616271,50,13.416306
-65.753085,50,13.462578
-63.509184,50,13.51452
-63.004994,50,13.560945
-52.339526,50,13.610935
-58.355181,50,13.657299
-59.503468,50,13.704219
-54.512385,50,13.752026
-64.572379,50,13.800905
-64.434836,50,13.847109
-57.223893,50,13.89386
-60.001036,50,13.940416
-70.293214,50,13.986879
-57.900627,50,14.033095
-65.682893,50,14.079312
-69.079764,50,14.125609
-57.734474,50,14.175476
-51.078657,50,14.451324
-55.861914,50,14.505421
-60.326402,50,14.551363
-49.156517,50,14.599035
-50.577637,50,14.644942
-61.412027,50,14.695216
-59.105495,50,14.742392
-65.503987,50,14.791425
-56.652616,50,14.837992
-59.173105,50,14.884672
-57.424217,50,14.931142
-51.600268,50,14.977576
-57.543818,50,15.024514
-63.273298,50,15.071277
-52.119246,50,15.117988
-45.535847,50,15.164922
-59.119014,50,15.214429
-53.82997,50,15.262836
-59.784677,50,15.31208
-54.094721,50,15.36227
-59.32693,50,15.425831
-55.51851,50,15.481165
-69.843192,50,15.535719
-53.775722,50,15.589
-58.409112,50,15.640591
-57.442247,50,15.689752
-55.211108,50,15.737775
-52.581778,50,15.78825
-59.88468,50,15.836407
-56.212659,50,15.888386
-55.647552,50,15.956631
-55.220399,50,16.015175
-50.753128,50,16.071885
-57.649986,50,16.129201
-59.446105,50,16.17707
-56.794121,50,16.224916
-60.251369,50,16.273994
-55.136502,50,16.32281
-57.107824,50,16.37178
-59.260547,50,16.42023
-57.279218,50,16.470972
-55.905996,50,16.786036
-53.518241,50,16.842785
-50.431626,50,16.892906
-50.838205,50,16.940075
-56.219377,50,16.986489
-56.439095,50,17.033368
-61.870667,50,17.082357
-52.362604,50,17.129
-58.452047,50,17.177246
-55.977633,50,17.225018
-55.822104,50,17.291894
-59.776091,50,17.34711
-67.096452,50,17.393977
-51.728768,50,17.44279
-52.391272,50,17.490812
-51.798129,50,17.537301
-57.730721,50,17.584794
-51.079566,50,17.63359
-50.457001,50,17.680183
-43.870297,50,17.727833
-50.683665,50,17.780698
-53.833258,50,17.833624
-50.784278,50,17.879943
-55.90738,50,17.935175
-56.458785,50,17.98441
-52.686806,50,18.032438
-52.642755,50,18.087311
-58.257773,50,18.136309
-57.894859,50,18.183592
-51.806655,50,18.231156
-54.103701,50,18.278458
-56.861059,50,18.325406
-55.932758,50,18.385166
-55.345364,50,18.431525
-59.855928,50,18.478521
-52.610269,50,18.525144
-56.020994,50,18.574048
-55.588473,50,18.623488
-57.623391,50,18.676452
-59.293036,50,18.726052
-51.628872,50,18.773281
