# {"t_start": 1626310462.369397, "env_id": "Reacher-v2"} 
r,l,t
-61.004457,50,6.885482
-63.838716,50,6.935778
-58.144523,50,6.986693
-57.909716,50,7.037652
-61.361203,50,7.089119
-67.920748,50,7.140304
-62.423442,50,7.189265
-60.943799,50,7.237644
-65.164017,50,7.288229
-59.693502,50,7.339322
-56.864322,50,7.391029
-68.148937,50,7.442935
-56.996525,50,7.494696
-56.719828,50,7.546863
-58.953055,50,7.597947
-62.640525,50,7.647922
-62.041695,50,7.700868
-55.603369,50,7.751565
-65.82924,50,7.831156
-66.51005,50,7.886572
-54.350957,50,7.947538
-59.964404,50,8.012174
-54.457352,50,8.061128
-64.190204,50,8.109706
-64.375994,50,8.160001
-61.373522,50,8.209905
-65.42877,50,8.260686
-62.367651,50,8.310386
-66.968683,50,8.36016
-57.62457,50,8.409492
-59.919836,50,8.461276
-59.161534,50,8.513415
-67.581304,50,8.566714
-53.900652,50,8.619077
-56.278874,50,8.671866
-67.69529,50,8.722998
-59.622397,50,8.772355
-62.985111,50,8.821987
-56.692343,50,8.874178
-56.937704,50,8.927886
-64.624713,50,9.498425
-52.430581,50,9.560973
-58.848244,50,9.61162
-58.426639,50,9.663881
-58.577866,50,9.714422
-62.033931,50,9.769097
-55.745836,50,9.819919
-62.654845,50,9.875827
-51.096164,50,9.925462
-60.610568,50,9.988355
-58.586578,50,10.038606
-54.104598,50,10.09473
-60.687144,50,10.147153
-57.887864,50,10.199735
-59.677926,50,10.250362
-63.07585,50,10.299842
-59.11492,50,10.348736
-61.610784,50,10.400982
-60.316448,50,10.453437
-59.62408,50,10.505681
-59.295384,50,10.557823
-64.657098,50,10.610405
-60.012721,50,10.662239
-60.0221,50,10.715501
-54.791993,50,10.767561
-61.830702,50,10.819849
-64.740753,50,10.872029
-55.256189,50,10.924244
-55.591202,50,10.978002
-60.150099,50,11.031474
-61.739592,50,11.083111
-57.101894,50,11.135382
-57.285989,50,11.201517
-56.529906,50,11.266004
-63.886636,50,11.360151
-59.614192,50,11.45615
-58.315127,50,11.510159
-51.844935,50,11.564614
-62.937424,50,11.61777
-60.619444,50,11.679884
-61.403855,50,11.734951
-65.338115,50,12.053436
-60.247733,50,12.119451
-61.459741,50,12.173778
-61.061558,50,12.239322
-53.669736,50,12.295815
-61.511261,50,12.351958
-55.190859,50,12.404482
-52.239466,50,12.457437
-53.858306,50,12.510255
-51.744623,50,12.561573
-58.935772,50,12.612665
-59.018784,50,12.663739
-56.391048,50,12.714329
-55.823894,50,12.771892
-58.324271,50,12.823043
-54.044153,50,12.875416
-59.692718,50,12.929174
-50.181589,50,12.978213
-56.942259,50,13.026618
-59.835713,50,13.084196
-59.405975,50,13.135525
-49.915646,50,13.232295
-63.772332,50,13.314391
-53.503652,50,13.372313
-50.616789,50,13.427011
-54.439196,50,13.480388
-48.879725,50,13.533165
-60.494136,50,13.586336
-61.124031,50,13.637452
-55.369518,50,13.690651
-50.294973,50,13.742043
-52.397429,50,13.792979
-54.714325,50,13.8466
-63.302955,50,13.897352
-47.544185,50,13.9486
-56.321494,50,14.014878
-54.635879,50,14.112992
-47.391293,50,14.188396
-58.207616,50,14.241129
-55.08593,50,14.291817
-52.443821,50,14.343358
-48.963342,50,14.661676
-52.479366,50,14.719794
-53.749497,50,14.770068
-53.581212,50,14.820227
-49.908033,50,14.868553
-48.811618,50,14.919892
-55.134248,50,14.971645
-61.627465,50,15.070505
-49.447483,50,15.141905
-52.215221,50,15.200616
-51.351809,50,15.251122
-53.477195,50,15.301452
-51.385386,50,15.350537
-56.852546,50,15.399025
-53.65596,50,15.448098
-44.493902,50,15.499396
-59.108503,50,15.550563
-52.655175,50,15.601797
-51.488623,50,15.652872
-51.653604,50,15.704138
-53.943799,50,15.755195
-51.401457,50,15.806298
-48.873597,50,15.857424
-57.622691,50,15.908243
-55.31334,50,15.958797
-52.633099,50,16.009159
-53.194356,50,16.059876
-50.030619,50,16.110245
-56.616888,50,16.161573
-47.305028,50,16.213626
-49.664113,50,16.265497
-52.782557,50,16.316448
-54.143491,50,16.365812
-49.628893,50,16.415194
-51.746218,50,16.463892
-46.448605,50,16.513914
-51.215796,50,16.566711
-53.842628,50,16.632157
-57.968341,50,16.698326
-45.408411,50,16.748193
-62.222147,50,16.797642
-57.465931,50,17.085577
-45.516118,50,17.14038
-49.104975,50,17.193974
-52.028277,50,17.242743
-44.372821,50,17.291564
-48.468846,50,17.339959
-44.768939,50,17.388475
-50.980039,50,17.436932
-53.174842,50,17.485396
-44.264109,50,17.534692
-50.67928,50,17.587933
-43.502617,50,17.651464
-52.286331,50,17.726582
-43.484704,50,17.776159
-45.491384,50,17.825185
-50.639991,50,17.874419
-48.690076,50,17.926013
-51.576447,50,17.977446
-50.379524,50,18.03028
-47.895141,50,18.079962
-48.328542,50,18.129854
-42.315051,50,18.179684
-60.441395,50,18.230553
-54.126808,50,18.28035
-51.91949,50,18.329927
-57.151687,50,18.379313
-43.964955,50,18.429672
-51.941559,50,18.479528
-45.963097,50,18.529121
-43.724826,50,18.578764
-62.739228,50,18.628506
-50.053055,50,18.678122
-54.220319,50,18.727399
-58.627123,50,18.777299
-58.071186,50,18.825805
-58.089609,50,18.874199
-46.630613,50,18.923047
-58.252429,50,18.971389
-52.149948,50,19.020163
-46.238152,50,19.068875
-54.903886,50,19.117595
-58.078755,50,20.648915
-34.874772,50,20.712767
-45.61227,50,20.775716
-48.770737,50,20.839308
-46.601272,50,20.902033
-46.630298,50,20.965198
-45.384584,50,21.02815
-47.44355,50,21.091171
-39.52257,50,21.154235
-36.492848,50,21.217709
-50.336848,50,21.280649
-49.822389,50,21.343712
-56.22135,50,21.40644
-42.609001,50,21.469618
-46.101798,50,21.532285
-45.146016,50,21.595576
-51.893372,50,21.65849
-50.354732,50,21.721265
-36.949424,50,21.783946
-46.593532,50,21.846871
-40.685286,50,21.909632
-45.729735,50,21.972804
-43.472386,50,22.036128
-49.989419,50,22.098995
-40.071987,50,22.162099
-44.92324,50,22.22516
-47.008514,50,22.287886
-56.005744,50,22.352499
-43.084532,50,22.425939
-39.509584,50,22.555709
-47.915274,50,22.638182
-47.855197,50,22.727223
-44.835742,50,22.796877
-49.870554,50,22.866777
-42.751748,50,22.940538
-46.41416,50,23.013832
-46.043123,50,23.081586
-45.179003,50,23.154061
-50.478621,50,23.221684
-45.627916,50,23.295318
-53.620305,50,23.392536
-44.093694,50,23.753438
-55.642818,50,23.823484
-45.854129,50,23.88891
-47.454832,50,23.956775
-38.28019,50,24.024016
-42.517642,50,24.087669
-42.269488,50,24.150532
-42.86459,50,24.214969
-45.502006,50,24.282009
-48.021615,50,24.353021
-38.268736,50,24.423572
-57.392646,50,24.489784
-46.566928,50,24.557726
-45.599129,50,24.624612
-45.241078,50,24.68943
-33.75418,50,24.752882
-49.621718,50,24.81795
-52.266349,50,24.880842
-38.242883,50,24.943973
-40.255502,50,25.008631
-54.148282,50,25.072045
-43.738111,50,25.13516
-45.269437,50,25.203754
-46.250994,50,25.270815
-47.301474,50,25.343113
-38.383228,50,25.418235
-53.538071,50,25.500796
-42.525782,50,25.571628
-46.548535,50,25.640113
-44.640749,50,25.707985
-46.336757,50,25.782048
-41.188652,50,25.853236
-46.348643,50,25.920949
-37.262451,50,25.987894
-51.263248,50,26.059893
-42.640947,50,26.12806
-51.3111,50,26.195592
-45.903567,50,26.260388
-45.810575,50,26.325072
-36.216688,50,26.39588
-51.214393,50,26.465898
-50.008387,50,26.832884
-38.63425,50,26.918048
-36.032598,50,26.990444
-41.171381,50,27.05512
-45.048072,50,27.119312
-41.23333,50,27.183415
-37.351059,50,27.250956
-36.194165,50,27.315883
-48.040549,50,27.380117
-41.70204,50,27.445343
-42.461507,50,27.510806
-52.669515,50,27.581484
-47.901313,50,27.651371
-43.304744,50,27.719255
-44.19001,50,27.788333
-48.747542,50,27.854032
-40.162657,50,27.919323
-41.417617,50,28.002141
-45.57737,50,28.067788
-50.295698,50,28.132471
-48.809657,50,28.197088
-48.161304,50,28.261569
-45.148677,50,28.326424
-39.907768,50,28.391649
-42.351194,50,28.456543
-39.877736,50,28.520665
-38.280294,50,28.584771
-47.701241,50,28.649347
-42.063845,50,28.714475
-52.38825,50,28.780345
-51.344684,50,28.845087
-38.862658,50,28.909156
-42.459998,50,28.973835
-43.565523,50,29.038324
-41.325015,50,29.102383
-47.333247,50,29.169068
-48.351072,50,29.23726
-35.620891,50,29.301769
-43.112529,50,29.365188
-41.087384,50,29.430624
-45.824182,50,29.493924
-37.990193,50,29.823394
-42.741934,50,29.967
-45.53163,50,30.042652
-43.672457,50,30.114231
-40.843571,50,30.186407
-32.327889,50,30.255425
-45.455231,50,30.325818
-36.947737,50,30.39546
-42.22635,50,30.466788
-31.202066,50,30.535425
-36.613968,50,30.605768
-38.061828,50,30.680104
-43.828772,50,30.748939
-39.969073,50,30.837921
-39.700732,50,30.947082
-42.162097,50,31.029902
-37.490722,50,31.09498
-46.271936,50,31.158653
-34.628923,50,31.224859
-35.186645,50,31.313811
-39.92831,50,31.393165
-39.543944,50,31.460537
-39.809816,50,31.53372
-38.175686,50,31.598712
-47.325216,50,31.663479
-43.713559,50,31.727969
-38.796365,50,31.791999
-41.857369,50,31.857069
-39.720695,50,31.924329
-39.807354,50,32.006224
-41.134891,50,32.079971
-43.986435,50,32.14594
-40.780733,50,32.211447
-36.140376,50,32.276132
-43.722362,50,32.341321
-48.418047,50,32.405972
-37.66442,50,32.469663
-41.508596,50,32.534566
-43.788037,50,32.60475
-40.995183,50,32.683308
-46.259794,50,32.750471
-32.399894,50,33.066989
-39.40723,50,33.135601
-36.210711,50,33.221205
-44.971336,50,33.302863
-39.670901,50,33.369022
-37.996478,50,33.433934
-35.824528,50,33.498749
-32.704216,50,33.563263
-38.392157,50,33.627723
-37.851466,50,33.692903
-33.675437,50,33.758553
-34.774699,50,33.82381
-40.967133,50,33.887655
-37.578049,50,33.951554
-40.777834,50,34.016908
-39.254282,50,34.080995
-43.959987,50,34.145807
-47.826019,50,34.210163
-46.834581,50,34.274616
-45.868536,50,34.338492
-38.362361,50,34.403213
-43.966835,50,34.467773
-40.596748,50,34.532999
-40.71172,50,34.597224
-43.421655,50,34.664372
-33.341565,50,34.728434
-38.977566,50,34.792686
-38.671293,50,34.857021
-42.234258,50,34.921684
-38.210824,50,34.985654
-33.182725,50,35.050068
-44.693749,50,35.114114
-39.893249,50,35.180446
-42.415977,50,35.245839
-42.734635,50,35.309745
-36.576715,50,35.372495
-38.889932,50,35.436133
-37.523754,50,35.501936
-37.876321,50,35.570143
-31.534275,50,35.668289
-38.596676,50,35.739681
-30.572117,50,64.268657
-36.554746,50,64.33562
-40.463892,50,64.398763
-32.497454,50,64.461664
-39.67148,50,64.524624
-33.26789,50,64.587778
-41.245131,50,64.650621
-36.054304,50,64.713869
-35.26971,50,64.776935
-35.51246,50,64.839737
-29.688132,50,64.902643
-41.287783,50,64.96587
-32.032098,50,65.032195
-31.650887,50,65.108446
-28.578857,50,65.188123
-32.495909,50,65.254151
-41.63967,50,65.319021
-29.210948,50,65.383622
-41.06763,50,65.450594
-43.100009,50,65.518122
-34.17279,50,65.605372
-41.244311,50,65.673521
-34.761282,50,65.740093
-36.233247,50,65.806393
-35.862488,50,65.870006
-31.914505,50,65.933164
-34.28477,50,65.996112
-28.7035,50,66.059131
-32.891269,50,66.122246
-32.568893,50,66.185777
-30.089003,50,66.249447
-36.342479,50,66.312488
-34.386312,50,66.375406
-37.391769,50,66.438538
-36.603093,50,66.501619
-37.31282,50,66.565088
-34.603008,50,66.630585
-42.811827,50,66.694467
-38.129647,50,66.761035
-25.696247,50,66.824293
-32.835188,50,66.887769
-34.82946,50,67.265485
-38.87069,50,67.333363
-29.503466,50,67.397357
-33.230513,50,67.46707
-34.124498,50,67.53626
-36.927246,50,67.635775
-29.414313,50,67.709835
-33.678527,50,67.774688
-29.072,50,67.842194
-30.435599,50,67.906678
-35.628544,50,67.97543
-28.982287,50,68.040026
-31.985614,50,68.105527
-35.557528,50,68.172041
-34.096737,50,68.238479
-34.4486,50,68.307909
-31.920853,50,68.376341
-34.783115,50,68.450048
-26.075658,50,68.542309
-32.795202,50,68.608466
-33.549517,50,68.672767
-34.778268,50,68.737719
-40.09847,50,68.802066
-31.28265,50,68.866648
-30.172341,50,68.931436
-39.602691,50,68.997418
-37.758556,50,69.061668
-27.546647,50,69.126284
-31.315054,50,69.190987
-30.386342,50,69.254971
-28.544671,50,69.319234
-34.817039,50,69.383281
-28.842728,50,69.447434
-30.715345,50,69.511935
-26.583037,50,69.575828
-36.091988,50,69.64011
-29.628806,50,69.703842
-27.223627,50,69.767823
-34.349879,50,69.831828
-27.41041,50,69.895969
-32.99217,50,69.961737
-28.991807,50,70.3062
-32.256081,50,70.370586
-29.79173,50,70.434381
-28.474629,50,70.498172
-31.424673,50,70.564691
-27.316954,50,70.664747
-29.150726,50,70.750137
-32.313988,50,70.818818
-32.385862,50,70.890972
-30.224604,50,70.960162
-30.700418,50,71.028659
-36.092493,50,71.096871
-34.557704,50,71.164469
-24.675058,50,71.232399
-30.76128,50,71.304027
-29.767023,50,71.374607
-28.516876,50,71.444082
-33.160409,50,71.542008
-32.24164,50,71.627532
-29.545408,50,71.698934
-37.111603,50,71.76444
-35.213586,50,71.828533
-26.148273,50,71.895158
-36.396266,50,71.965723
-24.885948,50,72.033785
-23.236282,50,72.102563
-38.300801,50,72.171744
-34.179759,50,72.23757
-33.49857,50,72.302479
-24.429977,50,72.369912
-30.808748,50,72.44051
-36.374798,50,72.509342
-33.581034,50,72.577294
-26.153765,50,72.644873
-30.994174,50,72.711898
-21.606932,50,72.783159
-31.398673,50,72.852927
-32.241252,50,72.921792
-28.530562,50,72.989339
-29.992513,50,73.053894
-35.52444,50,73.118277
-26.785736,50,73.460408
-33.887311,50,73.531421
-27.835549,50,73.600455
-26.827438,50,73.666321
-33.475872,50,73.731872
-25.529106,50,73.796605
-32.278246,50,73.861647
-22.391682,50,73.925905
-31.002741,50,73.990931
