EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
50.0,-61.014720448413456,40,40,2.7530107498168945,2000,0.0,2.6998732,0.025472044944763184,0.009977724,0.003009012,0.003009012
50.0,-60.098168257333974,41,81,5.3058507442474365,4050,0.0,2.5641096,0.13642215728759766,0.010000136,0.009037347,0.009037347
50.0,-58.20297100807984,41,122,7.908669948577881,6100,0.0,2.4446409,0.188764750957489,0.010120776,0.008036691,0.008036691
50.0,-55.13080790662909,41,163,10.333635807037354,8150,0.0,2.3066351,0.3062780499458313,0.009977724,0.009021567,0.009021567
50.0,-52.054365548939394,41,204,13.849371910095215,10200,0.0,2.1694057,0.4665713310241699,0.009985685,0.009059524,0.009059524
50.0,-49.18922761102019,41,245,16.98958992958069,12250,0.0,2.0436954,0.43920421600341797,0.009483564,0.0076142084,0.0076142084
50.0,-47.02832002042302,41,286,20.0660719871521,14300,0.0,1.959871,0.5017045140266418,0.009584798,0.009222569,0.009222569
50.0,-44.94457461836273,41,327,23.05267572402954,16350,0.0,1.8485637,0.4623502492904663,0.008908973,0.006822017,0.006822017
50.0,-42.76337750918453,41,368,26.299325942993164,18400,0.0,1.7253728,0.4850582480430603,0.009802965,0.009470195,0.009470195
50.0,-40.56746761109948,41,409,57.49770379066467,20450,0.0,1.590691,0.5738097727298737,0.009593966,0.013058731,0.013058731
50.0,-38.038529811777494,41,450,60.47768807411194,22500,0.0,1.4580895,0.4974628686904907,0.0098734815,0.010367152,0.010367152
50.0,-34.702371278541506,41,491,63.52544569969177,24550,0.0,1.3238918,0.5374622344970703,0.009559212,0.007943373,0.007943373
50.0,-32.116680708511815,41,532,66.67155289649963,26600,0.0,1.1868006,0.6134833097457886,0.00985988,0.011929864,0.011929864
50.0,-29.724500462866832,41,573,69.77237606048584,28650,0.0,1.0519373,0.6326742172241211,0.009597824,0.011679156,0.011679156
50.0,-27.445429200013987,41,614,76.25439786911011,30700,0.0,0.9331328,0.6158290207386017,0.009181727,0.0064783855,0.0064783855
50.0,-25.580703049373028,41,655,90.75803995132446,32750,0.0,0.7980003,0.6274150311946869,0.0096608745,0.00806371,0.00806371
50.0,-24.107396929859146,41,696,93.7254409790039,34800,0.0,0.664351,0.6548554003238678,0.009859156,0.0125224525,0.0125224525
50.0,-22.302979021041605,41,737,104.85509181022644,36850,0.0,0.5341882,0.6566612422466278,0.009973741,0.013736114,0.013736114
50.0,-20.59258073465331,41,778,107.92138290405273,38900,0.0,0.4027791,0.6444074213504791,0.0092412885,0.0114479875,0.0114479875
50.0,-18.533281487278554,41,819,115.43456888198853,40950,0.0,0.27393317,0.6611223220825195,0.009633492,0.011028515,0.011028515
50.0,-17.315127746290372,41,860,118.43770694732666,43000,0.0,0.14012149,0.6545852422714233,0.009499469,0.013535278,0.013535278
50.0,-16.004909245916885,41,901,121.50011801719666,45050,0.0,0.009770632,0.6915117800235748,0.009073768,0.010586435,0.010586435
50.0,-14.660154451613101,41,942,124.49176287651062,47100,-0.0,-0.11313816,0.7311814725399017,0.008553812,0.012577111,0.012577111
50.0,-13.27617977667081,41,983,127.50701475143433,49150,-0.0,-0.2386701,0.6980403363704681,0.008905121,0.011352853,0.011352853
50.0,-12.461258788412943,41,1024,136.74082469940186,51200,-0.0,-0.36746234,0.7275921106338501,0.009033408,0.016529312,0.016529312
50.0,-12.179577739420797,40,1064,139.86696696281433,53200,-0.0,-0.4628835,0.7468156814575195,0.007702861,0.01077855,0.01077855
50.0,-11.597125717838175,41,1105,142.9452006816864,55250,-0.0,-0.58080435,0.7029281854629517,0.008954963,0.014137089,0.014137089
50.0,-10.76722869526966,41,1146,145.82010293006897,57300,-0.0,-0.6949876,0.7661377489566803,0.008212442,0.009251149,0.009251149
50.0,-10.211625371229347,41,1187,148.66995096206665,59350,-0.0,-0.77840817,0.7873537838459015,0.007419382,0.01156348,0.01156348
50.0,-9.89552116456911,41,1228,158.53678274154663,61400,-0.0,-0.8946839,0.8100884705781937,0.009205669,0.011880957,0.011880957
