# {"t_start": 1601478509.244777, "env_id": "Reacher-v2"} 
r,l,t
-55.097511,50,0.785675
-65.610682,50,0.809726
-62.800213,50,0.833828
-70.71821,50,0.858049
-66.382077,50,0.882156
-55.840281,50,0.906592
-68.611222,50,0.930697
-58.768,50,0.954882
-60.801282,50,0.978981
-67.441274,50,1.003079
-56.271811,50,1.027274
-62.736688,50,1.051874
-60.776085,50,1.07588
-59.307037,50,1.100588
-64.239238,50,1.124689
-57.480177,50,1.150335
-63.099011,50,1.174237
-51.29697,50,1.198944
-63.539286,50,1.223068
-49.820077,50,1.247097
-63.595679,50,1.271185
-59.087402,50,1.295589
-60.495416,50,1.31971
-61.559484,50,1.343907
-70.766685,50,1.367901
-69.038202,50,1.39178
-54.111651,50,1.416006
-62.031838,50,1.440256
-60.465749,50,1.464183
-61.213678,50,1.488264
-60.45732,50,1.512193
-56.491989,50,1.536447
-60.353633,50,1.560519
-64.086176,50,1.584601
-55.459045,50,1.608667
-60.877614,50,1.633082
-66.580432,50,1.657063
-59.503937,50,1.681101
-61.813473,50,1.705158
-59.556224,50,1.728857
-59.182264,50,2.236302
-50.008421,50,2.270571
-59.746506,50,2.295007
-55.666209,50,2.319
-66.583229,50,2.343048
-60.41657,50,2.367076
-61.240489,50,2.391224
-59.521756,50,2.415364
-60.321491,50,2.44383
-63.842781,50,2.471989
-57.178353,50,2.50093
-60.295215,50,2.528205
-56.918194,50,2.557055
-53.644527,50,2.588096
-71.267564,50,2.6163
-64.185396,50,2.651911
-58.17893,50,2.679589
-57.902489,50,2.709906
-56.112044,50,2.742329
-69.292947,50,2.771732
-53.805353,50,2.797567
-63.824248,50,2.825344
-53.857668,50,2.851675
-57.961964,50,2.884271
-65.159687,50,2.914901
-63.902938,50,2.947507
-62.3796,50,2.976807
-62.055311,50,3.000635
-53.266877,50,3.024301
-58.603372,50,3.048345
-62.207211,50,3.072984
-62.377028,50,3.097136
-63.774156,50,3.121471
-64.320426,50,3.145815
-52.079103,50,3.170096
-62.10314,50,3.194283
-64.546794,50,3.218493
-59.906356,50,3.242432
-63.602897,50,3.26663
-63.125281,50,3.290778
-58.312375,50,3.315174
-65.743241,50,3.773333
-56.122536,50,3.807496
-52.231431,50,3.831661
-60.97023,50,3.855786
-59.042316,50,3.879864
-51.96832,50,3.905388
-49.37605,50,3.929482
-59.719996,50,3.953957
-54.147202,50,3.978232
-55.867804,50,4.002253
-59.448686,50,4.027915
-67.856462,50,4.055602
-55.227632,50,4.07963
-59.215167,50,4.103606
-60.425519,50,4.128054
-55.824821,50,4.152038
-57.630416,50,4.175762
-52.617995,50,4.200085
-61.489518,50,4.224362
-64.821512,50,4.248657
-50.991561,50,4.272519
-54.293751,50,4.296812
-67.488581,50,4.320948
-56.06879,50,4.345165
-65.115469,50,4.369785
-65.265313,50,4.393867
-48.937588,50,4.418079
-66.842151,50,4.44219
-59.502045,50,4.466207
-61.068507,50,4.490485
-57.591056,50,4.514656
-58.267155,50,4.538839
-58.618569,50,4.563074
-54.46223,50,4.587329
-57.124442,50,4.611756
-59.606734,50,4.635799
-50.254716,50,4.660001
-55.528948,50,4.684033
-67.455008,50,4.707989
-61.285712,50,4.731941
-60.618583,50,4.755996
-50.435627,50,5.216651
-54.762341,50,5.251059
-54.762662,50,5.275578
-54.411144,50,5.299863
-50.922409,50,5.324291
-55.673394,50,5.3489
-55.928842,50,5.373182
-57.365776,50,5.3975
-50.612422,50,5.421317
-48.03504,50,5.445816
-53.678057,50,5.469843
-59.75029,50,5.493842
-59.877618,50,5.517847
-52.683188,50,5.541793
-65.359103,50,5.569545
-62.064547,50,5.599772
-51.788102,50,5.629815
-54.605131,50,5.659889
-49.942342,50,5.685434
-62.163078,50,5.709424
-56.538037,50,5.733568
-56.928424,50,5.757721
-62.820867,50,5.781681
-53.24784,50,5.805635
-62.58985,50,5.829562
-52.31131,50,5.853578
-60.895893,50,5.877498
-57.47225,50,5.903243
-54.733739,50,5.927018
-62.635392,50,5.951042
-60.603019,50,5.975014
-71.716578,50,5.998941
-59.980054,50,6.023128
-58.654439,50,6.047066
-55.718685,50,6.071054
-58.700527,50,6.0953
-60.300544,50,6.119726
-65.517442,50,6.144012
-54.422395,50,6.168128
-59.445099,50,6.192167
-57.888652,50,6.216396
-58.597636,50,6.674611
-47.85579,50,6.709024
-60.745243,50,6.733054
-53.783186,50,6.757066
-58.781515,50,6.781291
-53.172022,50,6.805359
-45.358781,50,6.830133
-55.7154,50,6.85442
-48.031499,50,6.878454
-54.584992,50,6.902538
-54.890927,50,6.926726
-49.10863,50,6.951939
-58.496663,50,6.976764
-52.33759,50,7.000904
-58.446931,50,7.02498
-56.674382,50,7.049088
-59.664157,50,7.07294
