# {"t_start": 1601477708.731904, "env_id": "Reacher-v2"} 
r,l,t
-56.410711,50,1.523908
-54.47611,50,1.569666
-69.348733,50,1.607126
-61.636723,50,1.639161
-61.543112,50,1.669614
-65.453489,50,1.698268
-63.600778,50,1.725966
-58.917783,50,1.752719
-58.903241,50,1.779687
-58.336721,50,1.807001
-57.463593,50,1.83414
-59.267303,50,1.861385
-59.249548,50,1.888898
-64.761744,50,1.915849
-55.684126,50,1.943008
-69.834078,50,1.970406
-64.232665,50,1.997512
-58.881584,50,2.024766
-56.420622,50,2.051824
-65.760424,50,2.078793
-61.756576,50,2.105634
-61.001867,50,2.132857
-61.760463,50,2.160039
-67.86253,50,2.187066
-56.868763,50,2.213939
-60.56784,50,2.241055
-64.661108,50,2.268219
-68.865442,50,2.295192
-54.976773,50,2.323157
-55.250644,50,2.350077
-60.063603,50,2.377577
-62.454774,50,2.404183
-55.799643,50,2.431151
-62.582668,50,2.458552
-58.99404,50,2.485964
-63.892887,50,2.51298
-64.192298,50,2.539714
-57.97747,50,2.566951
-60.448055,50,2.594202
-55.75295,50,2.621111
-62.402042,50,3.070854
-57.647703,50,3.101702
-58.71194,50,3.133617
-61.253586,50,3.160763
-66.089553,50,3.188007
-67.053981,50,3.215032
-60.907625,50,3.242188
-68.624376,50,3.268801
-59.62087,50,3.295987
-63.335498,50,3.323369
-52.062357,50,3.357504
-59.295043,50,3.39088
-67.185547,50,3.425504
-52.73139,50,3.454513
-58.896399,50,3.483585
-60.520492,50,3.511896
-61.883481,50,3.54164
-62.078369,50,3.580556
-62.979405,50,3.610376
-66.387705,50,3.646875
-58.872055,50,3.68182
-59.689092,50,3.714214
-59.711587,50,3.747681
-65.241015,50,3.778136
-62.255272,50,3.808927
-51.736994,50,3.839951
-66.804946,50,3.870409
-58.219172,50,3.901168
-61.983003,50,3.932222
-63.321277,50,3.962851
-60.865356,50,3.993893
-66.090702,50,4.024354
-57.061647,50,4.054918
-58.474277,50,4.085634
-66.04807,50,4.116042
-56.640426,50,4.146924
-58.592443,50,4.177545
-62.924876,50,4.20787
-63.868352,50,4.238548
-65.141568,50,4.268943
-59.141168,50,4.299521
-70.081389,50,4.587085
-55.65712,50,4.623747
-60.61557,50,4.656947
-59.278829,50,4.693938
-62.042864,50,4.726454
-58.978667,50,4.759662
-63.422559,50,4.790688
-63.543914,50,4.82201
-66.954707,50,4.852522
-60.447128,50,4.884168
-61.072279,50,4.915109
-62.405599,50,4.94603
-61.497483,50,4.976966
-58.930381,50,5.008311
-60.575399,50,5.039108
-55.520157,50,5.07001
-58.436173,50,5.100192
-61.362724,50,5.130654
-60.893614,50,5.161488
-56.09294,50,5.194579
-59.992104,50,5.225562
-53.772572,50,5.256537
-62.817615,50,5.287845
-56.747908,50,5.319413
-56.492092,50,5.350589
-57.589658,50,5.38114
-62.280836,50,5.412476
-54.68457,50,5.444043
-63.675281,50,5.474984
-61.175697,50,5.506153
-72.974097,50,5.536769
-66.232144,50,5.567801
-59.115897,50,5.598939
-59.321857,50,5.629595
-65.651174,50,5.660701
-70.806221,50,5.691634
-55.374573,50,5.722834
-68.240973,50,5.755454
-58.945155,50,5.787303
-60.314993,50,5.818835
-60.483271,50,5.849173
-53.65295,50,6.133613
-60.174398,50,6.171149
-57.086497,50,6.202382
-58.697946,50,6.232938
-65.189377,50,6.264024
-57.565117,50,6.295938
-59.863669,50,6.327718
-55.000078,50,6.358624
-60.666974,50,6.389376
-62.172461,50,6.419857
-62.684391,50,6.452579
-58.42756,50,6.48375
-72.038882,50,6.515027
-64.273071,50,6.546568
-57.667651,50,6.576959
-63.183653,50,6.60852
-56.382348,50,6.639401
-53.864376,50,6.670145
-61.136568,50,6.700971
-67.044247,50,6.731512
-59.698212,50,6.762098
-55.784512,50,6.793223
-64.556516,50,6.831568
-60.577522,50,6.864408
-66.551549,50,6.895755
-54.421794,50,6.926582
-58.645351,50,6.95731
-61.20684,50,6.988559
-56.917735,50,7.019104
-59.78643,50,7.050043
-58.62365,50,7.080964
-48.453276,50,7.112175
-74.116089,50,7.143309
-64.165938,50,7.174422
-62.570397,50,7.205224
-54.410381,50,7.236628
-64.748463,50,7.267353
-60.818769,50,7.297889
-57.442243,50,7.329103
-56.356249,50,7.359942
-57.305469,50,7.391609
-59.449606,50,7.663331
-52.409331,50,7.700663
-59.244454,50,7.731358
-58.561744,50,7.762509
-59.250075,50,7.793217
-55.356449,50,7.824981
-57.755383,50,7.856344
-62.133733,50,7.893681
-64.006699,50,7.924456
-60.352209,50,7.955652
-60.067435,50,7.986982
-52.063242,50,8.018789
-58.332744,50,8.049629
-62.432131,50,8.08071
-55.359636,50,8.111381
-60.412381,50,8.142502
-59.213711,50,8.173334
-56.190172,50,8.205555
-56.082626,50,8.236632
-56.675714,50,8.267231
-57.712464,50,8.298446
-63.365663,50,8.3295
-56.55732,50,8.360369
-60.865488,50,8.391239
-58.619987,50,8.422219
-61.241015,50,8.454082
-53.675493,50,8.487172
-57.867795,50,8.521844
-62.267562,50,8.556174
-56.562264,50,8.587462
-55.453377,50,8.618435
-59.689991,50,8.649621
-67.207806,50,8.680047
-58.536967,50,8.710741
-62.052992,50,8.741838
-58.233785,50,8.772619
-53.863034,50,8.803977
-52.996303,50,8.835365
-60.617091,50,8.865629
-53.581341,50,8.899266
-61.136477,50,8.933008
-62.097191,50,9.197113
-61.326033,50,9.229606
-60.058061,50,9.259305
-56.627096,50,9.286237
-58.4185,50,9.31374
-57.936966,50,9.341436
-52.280239,50,9.368947
-59.276073,50,9.397236
-50.366611,50,9.425092
-66.773808,50,9.452754
-61.767452,50,9.480203
-62.724759,50,9.507175
-64.860906,50,9.534204
-58.4388,50,9.561462
-61.268584,50,9.588626
-51.182455,50,9.615904
-64.38854,50,9.64307
-55.615883,50,9.670158
-63.488885,50,9.697402
-64.644417,50,9.724406
-71.557205,50,9.751594
-62.672732,50,9.77855
-61.929077,50,9.806168
-55.879695,50,9.833288
-57.199659,50,9.860445
-62.31826,50,9.88763
-63.581858,50,9.914806
