EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
50.0,-61.3842307485945,40,40,2.599838972091675,2000,0.0,2.9621532,0.017434537410736084,0.009003535,0.00044574402,0.00044574402
50.0,-62.14872834654728,41,81,4.797606945037842,4050,0.0,2.8396564,0.12995439767837524,0.010103941,0.008377628,0.008377628
50.0,-62.525035582260024,41,122,7.071829795837402,6100,0.0,2.7016783,0.21492058038711548,0.009977841,0.00861036,0.00861036
50.0,-60.978820589234545,41,163,9.408801794052124,8150,0.0,2.5913098,0.3305043578147888,0.010156893,0.0009778943,0.0009778943
50.0,-58.57230019952778,41,204,12.817976951599121,10200,0.0,2.4557297,0.3890739679336548,0.010002043,0.005108094,0.005108094
50.0,-55.682944184086445,41,245,15.594996929168701,12250,0.0,2.3442378,0.38004612922668457,0.010153679,0.008968706,0.008968706
50.0,-53.57099356474769,41,286,18.553346872329712,14300,0.0,2.2132025,0.4915298819541931,0.010042452,0.0067685936,0.0067685936
50.0,-51.277903623063395,41,327,21.573288917541504,16350,0.0,2.0979292,0.48548442125320435,0.010139919,0.006838388,0.006838388
50.0,-48.257833886547004,41,368,24.830302953720093,18400,0.0,1.9617231,0.5118820667266846,0.009995844,0.006365563,0.006365563
50.0,-45.698453814650414,41,409,29.937217712402344,20450,0.0,1.8237303,0.5992657840251923,0.009977317,0.006853679,0.006853679
50.0,-42.72006341126011,41,450,32.74017786979675,22500,0.0,1.7408453,0.5919623076915741,0.010153509,0.00593959,0.00593959
50.0,-40.06969556130243,41,491,35.494210720062256,24550,0.0,1.6033654,0.5487215518951416,0.009983086,0.009372278,0.009372278
50.0,-37.77124171966115,41,532,38.261788845062256,26600,0.0,1.4655125,0.5536473989486694,0.009978986,0.01202525,0.01202525
50.0,-35.298286889020595,41,573,41.02700877189636,28650,0.0,1.3283995,0.6142306327819824,0.009986877,0.0064786645,0.0064786645
50.0,-32.572175953432975,41,614,47.099873781204224,30700,0.0,1.1952394,0.5420570969581604,0.010024454,0.010576587,0.010576587
50.0,-30.988795079486792,41,655,49.828335762023926,32750,0.0,1.06902,0.5752922296524048,0.010079954,0.013357921,0.013357921
50.0,-28.756346321353103,41,696,52.5654718875885,34800,0.0,1.0511439,0.6464238464832306,0.009708501,0.002158186,0.002158186
50.0,-27.137390075966497,41,737,55.3822820186615,36850,0.0,0.91877663,0.5978845953941345,0.010031607,0.01436159,0.01436159
50.0,-25.25979558226408,41,778,58.12069368362427,38900,0.0,0.79782134,0.664069801568985,0.010112786,0.010075767,0.010075767
50.0,-23.598334277450903,41,819,65.29695272445679,40950,0.0,0.659958,0.7295411229133606,0.009978986,0.01101784,0.01101784
50.0,-22.19907811994826,41,860,68.03789973258972,43000,0.0,0.5225749,0.6124612390995026,0.009984016,0.012477724,0.012477724
50.0,-20.61400463177928,41,901,70.79351782798767,45050,0.0,0.38461298,0.5799498558044434,0.009978033,0.00889745,0.00889745
50.0,-18.594465522407173,41,942,73.5238196849823,47100,0.0,0.2475357,0.7008571326732635,0.009987093,0.0119433515,0.0119433515
50.0,-16.496979419166955,41,983,76.24531269073486,49150,0.0,0.11369376,0.6117590665817261,0.010018442,0.009193452,0.009193452
50.0,-15.441096407805928,41,1024,84.5934579372406,51200,-0.0,-0.01885748,0.6178215146064758,0.010029816,0.007984433,0.007984433
50.0,-14.461114444298385,40,1064,87.35023188591003,53200,-0.0,-0.15101363,0.7439378201961517,0.010033392,0.009206037,0.009206037
50.0,-13.370963729911491,41,1105,90.08080291748047,55250,-0.0,-0.28612587,0.743324875831604,0.010006451,0.0085076485,0.0085076485
50.0,-12.678637320099945,41,1146,92.80428504943848,57300,-0.0,-0.42160586,0.7955052852630615,0.010002875,0.009983569,0.009983569
50.0,-11.971489782384872,41,1187,95.62819194793701,59350,-0.0,-0.55960596,0.7039058208465576,0.009977579,0.004258257,0.004258257
50.0,-11.25612566449804,41,1228,105.05554986000061,61400,-0.0,-0.69627374,0.7604696303606033,0.009991262,0.011327799,0.011327799
50.0,-10.710979030798692,41,1269,107.79012894630432,63450,-0.0,-0.82527614,0.7779781967401505,0.010059142,0.008063834,0.008063834
50.0,-10.301206097153178,41,1310,110.52185606956482,65500,-0.0,-0.95971584,0.7990417033433914,0.010013127,0.011197077,0.011197077
50.0,-9.437765754303168,41,1351,113.28438186645508,67550,-0.0,-1.0973318,0.758654996752739,0.009981609,0.010345862,0.010345862
50.0,-8.93193460136236,41,1392,116.02420091629028,69600,-0.0,-1.2352592,0.8015094101428986,0.009978318,0.009357832,0.009357832
50.0,-8.715756797625739,41,1433,126.51689386367798,71650,-0.0,-1.356679,0.8059256374835968,0.010110117,0.009420531,0.009420531
50.0,-8.47364125679999,41,1474,129.34974479675293,73700,-0.0,-1.4464643,0.8240416646003723,0.0101687675,0.008690747,0.008690747
50.0,-8.072257719524119,41,1515,132.09515285491943,75750,-0.0,-1.5837383,0.7910482734441757,0.009984993,0.008632128,0.008632128
50.0,-7.950471858151641,41,1556,134.82994174957275,77800,-0.0,-1.7151495,0.8477411270141602,0.010039806,0.008952197,0.008952197
50.0,-7.877148309661107,41,1597,137.54826498031616,79850,-0.0,-1.7846599,0.8693812191486359,0.010101318,0.0011629541,0.0011629541
50.0,-7.549657581493381,41,1638,150.48207902908325,81900,-0.0,-1.9090192,0.9169923514127731,0.010092282,0.0043575745,0.0043575745
50.0,-7.537063424564813,41,1679,153.37403869628906,83950,-0.0,-2.0382986,0.9030402079224586,0.010057211,0.0058204895,0.0058204895
50.0,-6.9674296093438794,41,1720,156.2289559841156,86000,-0.0,-2.1763082,0.8580160737037659,0.009977364,0.0034708017,0.0034708017
50.0,-6.714891642293277,41,1761,159.27521276474,88050,-0.0,-2.2814078,0.878582313656807,0.010168814,0.0021806126,0.0021806126
50.0,-6.704610767249222,41,1802,161.9952118396759,90100,-0.0,-2.3980153,0.863405242562294,0.010134197,0.004461867,0.004461867
50.0,-6.796350162494961,41,1843,176.02029490470886,92150,-0.0,-2.5187974,0.8962085396051407,0.010113809,0.010397329,0.010397329
50.0,-6.84744173814278,41,1884,179.0107228755951,94200,-0.0,-2.4892566,0.9326205030083656,0.009254359,0.0046004206,0.0046004206
50.0,-6.673035182897962,41,1925,181.94372367858887,96250,-0.0,-2.5025222,0.8902999013662338,0.009663105,0.0064862687,0.0064862687
50.0,-6.412558532409804,41,1966,184.82582569122314,98300,-0.0,-2.6145034,0.9100703522562981,0.010136999,0.0048792576,0.0048792576
50.0,-6.36469405641604,41,2007,187.7995307445526,100350,-0.0,-2.7342517,0.9028873667120934,0.010118008,0.006066842,0.006066842
50.0,-6.310263993076335,41,2048,202.16113901138306,102400,-0.0,-2.7471483,0.8948879539966583,0.009652615,0.0053394814,0.0053394814
50.0,-6.483572293092764,40,2088,204.9284188747406,104400,-0.0,-2.8706052,0.9096810594201088,0.010098074,0.008774895,0.008774895
50.0,-6.653793593117672,41,2129,207.65854787826538,106450,-0.0,-2.9890294,0.930703304708004,0.01012459,0.00038271025,0.00038271025
50.0,-6.57985225268545,41,2170,210.39520478248596,108500,-0.0,-3.12392,0.8695682138204575,0.010008428,0.0039087515,0.0039087515
50.0,-6.496543512795456,41,2211,213.1454427242279,110550,-0.0,-3.2592769,0.8968244791030884,0.010004259,0.010661666,0.010661666
50.0,-6.309591674297515,41,2252,226.65911483764648,112600,-0.0,-3.1936076,0.9093632474541664,0.009017572,0.0032384312,0.0032384312
50.0,-6.161637251571579,41,2293,229.41249108314514,114650,-0.0,-3.2721708,0.932965099811554,0.01013782,0.0025709774,0.0025709774
50.0,-6.536795169240198,41,2334,232.17268300056458,116700,-0.0,-3.2524557,0.9440471716225147,0.009354491,0.0043274276,0.0043274276
50.0,-6.365817507766525,41,2375,234.9199779033661,118750,-0.0,-3.3093443,0.9323112070560455,0.010027885,0.004648253,0.004648253
50.0,-6.203356454191163,41,2416,237.66052889823914,120800,-0.0,-3.3435497,0.9316238909959793,0.009854222,0.0059136096,0.0059136096
50.0,-6.169723637428177,41,2457,251.26778292655945,122850,-0.0,-3.458299,0.9428595937788486,0.010138535,0.0025176844,0.0025176844
50.0,-6.148391648744027,41,2498,254.35559678077698,124900,-0.0,-3.3796387,0.9401044622063637,0.008962419,0.0020145625,0.0020145625
50.0,-6.278983593079447,41,2539,257.29332089424133,126950,-0.0,-3.5022547,0.927893377840519,0.010102987,0.0071256366,0.0071256366
50.0,-6.3556748614894305,41,2580,260.42879581451416,129000,-0.0,-3.449141,0.9433393105864525,0.0090880655,0.004158301,0.004158301
50.0,-6.144996239923376,41,2621,263.31148386001587,131050,-0.0,-3.5202467,0.9219658598303795,0.010108448,0.0046906276,0.0046906276
50.0,-6.1579004108211555,41,2662,277.6503129005432,133100,-0.0,-3.64807,0.9359188601374626,0.010066509,0.005984495,0.005984495
50.0,-6.148294104004804,41,2703,282.16126704216003,135150,-0.0,-3.6794434,0.9384943693876266,0.009830952,0.0029887275,0.0029887275
50.0,-6.04505214434045,41,2744,285.32888889312744,137200,-0.0,-3.8154948,0.9262597858905792,0.009997129,0.0054966975,0.0054966975
50.0,-5.928156317954734,41,2785,288.89580488204956,139250,-0.0,-3.690735,0.9380866996943951,0.009006262,0.0028055373,0.0028055373
50.0,-5.849809380114238,41,2826,292.0215449333191,141300,-0.0,-3.8006012,0.9425518848001957,0.010158516,0.0029152408,0.0029152408
50.0,-5.454892027326054,41,2867,306.64191794395447,143350,-0.0,-3.9360995,0.9375813938677311,0.0100028515,0.001077123,0.001077123
50.0,-5.669603352889591,41,2908,309.4410619735718,145400,-0.0,-4.0075674,0.9503921940922737,0.010110762,0.0060290606,0.0060290606
50.0,-5.879066798518635,41,2949,312.28391790390015,147450,-0.0,-3.9368858,0.9493894465267658,0.0089941025,0.0047372878,0.0047372878
50.0,-6.106904268320729,41,2990,315.0524208545685,149500,-0.0,-3.9117284,0.9290499463677406,0.009306192,0.004396227,0.004396227
50.0,-5.920536759269512,41,3031,317.82174277305603,151550,-0.0,-3.8490148,0.9339438304305077,0.009033099,0.0021225475,0.0021225475
50.0,-6.075848614740978,41,3072,332.95651483535767,153600,-0.0,-3.9213836,0.9366694241762161,0.010114885,0.0058565736,0.0058565736
50.0,-5.999090067517935,40,3112,335.7106456756592,155600,-0.0,-3.8283079,0.9359864518046379,0.008931849,0.002536786,0.002536786
50.0,-5.907296335875848,41,3153,338.8666980266571,157650,-0.0,-3.9530022,0.9507451504468918,0.010089874,0.0075546326,0.0075546326
50.0,-5.751163801572573,41,3194,342.0491819381714,159700,-0.0,-3.826978,0.9465436786413193,0.009012699,0.002578361,0.002578361
50.0,-5.961080182664245,41,3235,345.03422379493713,161750,-0.0,-3.8322792,0.9532616399228573,0.0095892195,0.008267816,0.008267816
50.0,-6.005977931317982,41,3276,359.30263781547546,163800,-0.0,-3.9011111,0.9410076215863228,0.0100979805,0.0041921157,0.0041921157
